from	from	from
:	:	:
baden@sys6626.bison.mb.ca	baden@sys6626.bison.mb.ca	baden@sys6626.bison.mb.ca
(	(	(
baden	baden	baden
de	de	de
bari	bari	bari
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
jacob	jacob	jacob
'	'	'
s	s	s
ladder	ladder	ladder

organization	organ	organization
:	:	:
system	system	system
6626	6626	6626
bbs	bbs	bb
,	,	,
winnipeg	winnipeg	winnipeg
manitoba	manitoba	manitoba
canada	canada	canada

lines	line	line
:	:	:
36	36	36

g92m3062@alpha.ru.ac.za	g92m3062@alpha.ru.ac.za	g92m3062@alpha.ru.ac.za
(	(	(
brad	brad	brad
meier	meier	meier
)	)	)
writes	write	writes
:	:	:

>	>	>
hi	hi	hi
,	,	,
i	i	i
'	'	'
m	m	m
looking	look	looking
for	for	for
a	a	a
circuit	circuit	circuit
,	,	,
that	that	that
is	is	is
called	call	called
a	a	a
"	"	"
jacob	jacob	jacob
'	'	'
s	s	s
ladder	ladder	ladder
"	"	"
.	.	.

>	>	>
this	this	this
little	littl	little
box	box	box
is	is	is
usually	usual	usually
seen	seen	seen
in	in	in
sci	sci	sci
-	-	-
fi	fi	fi
movies	movi	movie
.	.	.

it	it	it
consists	consist	consists
of	of	of

>	>	>
two	two	two
curves	curv	curve
of	of	of
wire	wire	wire
protruding	protrud	protruding
into	into	into
the	the	the
air	air	air
,	,	,
with	with	with
little	littl	little
blue	blue	blue
sparks	spark	spark

>	>	>
starting	start	starting
at	at	at
their	their	their
base	base	base
(	(	(
where	where	where
the	the	the
two	two	two
wires	wire	wire
are	are	are
closer	closer	closer
to	to	to
each	each	each
other	other	other
)	)	)
,	,	,
>	>	>
moving	move	moving
up	up	up
the	the	the
wires	wire	wire
to	to	to
the	the	the
top	top	top
,	,	,
and	and	and
ending	end	ending
in	in	in
a	a	a
small	small	small
crackling	crackl	crackling
noise	nois	noise
.	.	.

>	>	>

>	>	>
could	could	could
anyone	anyon	anyone
supply	suppli	supply
me	me	me
with	with	with
the	the	the
schematic	schemat	schematic
for	for	for
the	the	the
innards	innard	innards
of	of	of
this	this	this
box	box	box
?	?	?

>	>	>

>	>	>
thanks	thank	thanks
in	in	in
advance	advanc	advance

>	>	>
mike	mike	mike

>	>	>

>	>	>
(	(	(
please	pleas	please
reply	repli	reply
by	by	by
email	email	email
to	to	to
g90k3853@alpha.ru.ac.za	g90k3853@alpha.ru.ac.za	g90k3853@alpha.ru.ac.za
)	)	)

>	>	>

>	>	>
-	-	-
-	-	-

>	>	>
|	|	|
/	/	/
|	|	|
|	|	|
~	~	~
|	|	|
~	~	~
/	/	/
~	~	~
~	~	~
\	\	\
|	|	|
|	|	|
~	~	~
|	|	|
~	~	~
/	/	/
~	~	~
~	~	~
\	\	\
|	|	|
~	~	~
~	~	~
\	\	\
/	/	/
~	~	~
~	~	~
\	\	\
the	the	the
knightorc	knightorc	knightorc

>	>	>
|	|	|
/	/	/
|	|	|
\	\	\
|	|	|
|	|	|
|	|	|
__	__	__
|	|	|
__	__	__
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
__	__	__
/	/	/
|	|	|
g92m3062@hippo.ru.ac.za	g92m3062@hippo.ru.ac.za	g92m3062@hippo.ru.ac.za

>	>	>
|	|	|
\	\	\
|	|	|
\	\	\
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
"	"	"
when	when	when
it	it	it
'	'	'
s	s	s
over	over	over
i	i	i
'	'	'
ll	ll	ll
go	go	go
home	home	home
,	,	,
>	>	>
|	|	|
\	\	\
|	|	|
|	|	|
_	_	_
|	|	|
_	_	_
\	\	\
__	__	__
/	/	/
|	|	|
|	|	|
|	|	|
\	\	\
__	__	__
/	/	/
|	|	|
|	|	|
\	\	\
__	__	__
/	/	/
until	until	until
then	then	then
,	,	,
i	i	i
stay	stay	stay
!	!	!
"	"	"
-	-	-
me	me	me

i	i	i
'	'	'
d	d	d
like	like	like
any	ani	any
accumulated	accumul	accumulated
information	inform	information
on	on	on
this	this	this
as	as	a
well	well	well
please	pleas	please
.	.	.

thanks	thank	thanks
.	.	.

_________________________________________	_________________________________________	_________________________________________

_____	_____	_____
|	|	|

|	|	|
|	|	|
|	|	|
|	|	|

=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
|	|	|
baden	baden	baden
de	de	de
bari	bari	bari
|	|	|

|	|	|
o	o	o
o	o	o
|	|	|
|	|	|
|	|	|

|	|	|
^	^	^
|	|	|
|	|	|
baden@sys6626.bison.ca	baden@sys6626.bison.ca	baden@sys6626.bison.ca
|	|	|

|	|	|
{	{	{
-	-	-
}	}	}
|	|	|
|	|	|
baden@inqmind.bison.ca	baden@inqmind.bison.ca	baden@inqmind.bison.ca
|	|	|

\	\	\
_____	_____	_____
/	/	/
|	|	|
|	|	|

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
