organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
chicago	chicago	chicago
,	,	,
academic	academ	academic
computer	comput	computer
center	center	center

from	from	from
:	:	:
jason	jason	jason
kratz	kratz	kratz
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
my	my	my
gun	gun	gun
is	is	is
like	like	like
my	my	my
american	american	american
express	express	express
card	card	card

distribution	distribut	distribution
:	:	:
usa	usa	usa

<	<	<
1qm7qoinnqnv@clem.handheld.com	1qm7qoinnqnv@clem.handheld.com	1qm7qoinnqnv@clem.handheld.com
>	>	>
<	<	<
1993apr17.235338.2819@ucsu.colorado.edu	1993apr17.235338.2819@ucsu.colorado.edu	1993apr17.235338.2819@ucsu.colorado.edu
>	>	>
lines	line	line
:	:	:
31	31	31

in	in	in
article	articl	article
<	<	<
1993apr17.235338.2819@ucsu.colorado.edu	1993apr17.235338.2819@ucsu.colorado.edu	1993apr17.235338.2819@ucsu.colorado.edu
>	>	>
,	,	,
fcrary@ucsu.colorado.edu	fcrary@ucsu.colorado.edu	fcrary@ucsu.colorado.edu

(	(	(
frank	frank	frank
crary	crari	crary
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
>	>	>
>	>	>
>	>	>
.	.	.
.	.	.
.	.	.
i	i	i
have	have	have
never	never	never
seen	seen	seen
anyone	anyon	anyone
else	els	else
practice	practic	practice
marksmanship	marksmanship	marksmanship
by	by	by

>	>	>
>	>	>
>	>	>
>	>	>
taking	take	taking
their	their	their
gun	gun	gun
out	out	out
of	of	of
their	their	their
coat	coat	coat
as	as	a
fast	fast	fast
as	as	a
possible	possibl	possible
and	and	and
start	start	start
shooting	shoot	shooting
.	.	.

>	>	>

>	>	>
>	>	>
>	>	>
that	that	that
is	is	is
the	the	the
recommended	recommend	recommended
way	way	way
to	to	to
practice	practic	practice
with	with	with
a	a	a
ccw	ccw	ccw
,	,	,
too	too	too
.	.	.

aim	aim	aim
alone	alon	alone
is	is	is
no	no	no
d	d	d

>	>	>
goo	goo	goo

>	>	>
>	>	>
>	>	>
for	for	for
defense	defens	defense
,	,	,
if	if	if
you	you	you
can	can	can
'	'	'
t	t	t
get	get	get
the	the	the
gun	gun	gun
rapidly	rapid	rapidly
.	.	.

>	>	>

>	>	>
>	>	>
very	veri	very
true	true	true
but	but	but
the	the	the
way	way	way
it	it	it
was	was	wa
being	be	being
done	done	done
was	was	wa
just	just	just
a	a	a
little	littl	little
unusual	unusu	unusual
.	.	.

it	it	it
looked	look	looked

>	>	>
>	>	>
to	to	to
me	me	me
like	like	like
they	they	they
were	were	were
practicing	practic	practicing
to	to	to
shoot	shoot	shoot
someone	someon	someone
.	.	.
.	.	.
.	.	.

the	the	the
point	point	point
that	that	that
i	i	i
forgot	forgot	forgot
to	to	to
bring	bring	bring
up	up	up
here	here	here
(	(	(
and	and	and
this	this	this
has	has	ha
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
being	be	being
a	a	a
gang	gang	gang
member	member	member
or	or	or
not	not	not
)	)	)
is	is	is
that	that	that
it	it	it
is	is	is
illegal	illeg	illegal
to	to	to
carry	carri	carry
a	a	a
concealed	conceal	concealed
weapon	weapon	weapon
in	in	in
this	this	this
area	area	area
(	(	(
or	or	or
in	in	in
the	the	the
state	state	state
of	of	of
illinois	illinoi	illinois
for	for	for
that	that	that
matter	matter	matter
)	)	)
.	.	.

this	this	this
is	is	is
not	not	not
to	to	to
say	say	say
that	that	that
people	peopl	people
in	in	in
illinois	illinoi	illinois
don	don	don
'	'	'
t	t	t
carry	carri	carry
concealed	conceal	concealed
weapons	weapon	weapon
illegaly	illegali	illegaly
but	but	but
practicing	practic	practicing
like	like	like
that	that	that
when	when	when
there	there	there
are	are	are
other	other	other
people	peopl	people
around	around	around
wasn	wasn	wasn
'	'	'
t	t	t
too	too	too
bright	bright	bright
of	of	of
an	an	an
idea	idea	idea
.	.	.

>	>	>

>	>	>
there	there	there
isn	isn	isn
'	'	'
t	t	t
necessarily	necessarili	necessarily
a	a	a
conflict	conflict	conflict
between	between	between
practicing	practic	practicing
with	with	with
a	a	a
concealed	conceal	concealed

>	>	>
weapon	weapon	weapon
for	for	for
self	self	self
-	-	-
defence	defenc	defence
and	and	and
practicing	practic	practicing
to	to	to
shoot	shoot	shoot
someone	someon	someone
.	.	.

armed	arm	armed

>	>	>
self	self	self
-	-	-
defence	defenc	defence
does	doe	doe
occasionally	occasion	occasionally
involve	involv	involve
shooting	shoot	shooting
an	an	an
attacker	attack	attacker
.	.	.

>	>	>

>	>	>
frank	frank	frank
crary	crari	crary

>	>	>
cu	cu	cu
boulder	boulder	boulder

i	i	i
agree	agre	agree
.	.	.

if	if	if
you	you	you
don	don	don
'	'	'
t	t	t
practice	practic	practice
at	at	at
all	all	all
and	and	and
carry	carri	carry
a	a	a
gun	gun	gun
for	for	for
self	self	self
-	-	-
defense	defens	defense
you	you	you
most	most	most
likely	like	likely
would	would	would
be	be	be
in	in	in
big	big	big
trouble	troubl	trouble
if	if	if
a	a	a
situation	situat	situation
were	were	were
to	to	to
arise	aris	arise
.	.	.

jason	jason	jason
-	-	-
u28037@uicvm.cc.uic.edu	u28037@uicvm.cc.uic.edu	u28037@uicvm.cc.uic.edu
