from	from	from
:	:	:
earlw@apple.com	earlw@apple.com	earlw@apple.com
(	(	(
earl	earl	earl
wallace	wallac	wallace
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
with	with	with
friends	friend	friend
like	like	like
these	these	these
-	-	-
-	-	-
l	l	l
.	.	.

neil	neil	neil
smith	smith	smith

organization	organ	organization
:	:	:
apple	appl	apple
computer	comput	computer
inc	inc	inc
.	.	.

esd	esd	esd
/	/	/
osbu	osbu	osbu
/	/	/
cross	cross	cross
-	-	-
platform	platform	platform
software	softwar	software
lines	line	line
:	:	:
17	17	17
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
apple	appl	apple
.	.	.
com	com	com

>	>	>
>	>	>
look	look	look
,	,	,
if	if	if
you	you	you
can	can	can
figure	figur	figure
out	out	out
a	a	a
reliable	reliabl	reliable
means	mean	mean
of	of	of
keeping	keep	keeping
guns	gun	gun
away	away	away
from	from	from

>	>	>
>	>	>
bad	bad	bad
people	peopl	people
,	,	,
while	while	while
not	not	not
interfering	interf	interfering
with	with	with
good	good	good
people	peopl	people
,	,	,
i	i	i
think	think	think
we	we	we
'	'	'
d	d	d
all	all	all
be	be	be

>	>	>
>	>	>
for	for	for
it	it	it
.	.	.

the	the	the
problem	problem	problem
is	is	is
,	,	,
the	the	the
methods	method	method
we	we	we
'	'	'
re	re	re
using	use	using
now	now	now
don	don	don
'	'	'
t	t	t
do	do	do
the	the	the
trick	trick	trick
.	.	.

>	>	>
don	don	don
'	'	'
t	t	t
manufacture	manufactur	manufacture
them	them	them
.	.	.

don	don	don
'	'	'
t	t	t
sell	sell	sell
them	them	them
.	.	.

don	don	don
'	'	'
t	t	t
import	import	import
them	them	them
.	.	.

>	>	>

>	>	>
some	some	some
guns	gun	gun
will	will	will
get	get	get
through	through	through
,	,	,
but	but	but
far	far	far
fewer	fewer	fewer
,	,	,
and	and	and
far	far	far
less	less	less
people	peopl	people
will	will	will

>	>	>
die	die	die
because	becaus	because
of	of	of
them	them	them
.	.	.

hunting	hunt	hunting
weapons	weapon	weapon
could	could	could
be	be	be
allowed	allow	allowed
,	,	,
of	of	of
course	cours	course
,	,	,
as	as	a

>	>	>
long	long	long
as	as	a
they	they	they
are	are	are
big	big	big
,	,	,
and	and	and
bulky	bulki	bulky
,	,	,
and	and	and
require	requir	require
reloading	reload	reloading
after	after	after
a	a	a
few	few	few

>	>	>
shots	shot	shot
(	(	(
how	how	how
many	mani	many
times	time	time
can	can	can
you	you	you
shoot	shoot	shoot
at	at	at
the	the	the
same	same	same
animal	anim	animal
,	,	,
anyways	anyway	anyways
one	one	one

>	>	>
assumes	assum	assumes
they	they	they
are	are	are
moving	move	moving
!	!	!
)	)	)

a	a	a
better	better	better
solution	solut	solution
:	:	:

if	if	if
the	the	the
'	'	'
bad	bad	bad
'	'	'
people	peopl	people
can	can	can
'	'	'
t	t	t
be	be	be
trusted	trust	trusted
with	with	with
guns	gun	gun
,	,	,
then	then	then
lock	lock	lock
them	them	them
or	or	or
knock	knock	knock

them	them	them
off	off	off
.	.	.

stop	stop	stop
punishing	punish	punishing
good	good	good
people	peopl	people
.	.	.
