from	from	from
:	:	:
sigma@rahul.net	sigma@rahul.net	sigma@rahul.net
(	(	(
kevin	kevin	kevin
martin	martin	martin
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
xv	xv	xv
under	under	under
ms	ms	m
-	-	-
dos	dos	do
?	?	?
!	!	!
?	?	?

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
bolero	bolero	bolero

organization	organ	organization
:	:	:
a2i	a2i	a2i
network	network	network

lines	line	line
:	:	:
11	11	11

in	in	in
<	<	<
1993apr20.083731.260@eicn.etna.ch	1993apr20.083731.260@eicn.etna.ch	1993apr20.083731.260@eicn.etna.ch
>	>	>
no	no	no
e	e	e
-	-	-
mail	mail	mail
address@eicn.etna.ch	address@eicn.etna.ch	address@eicn.etna.ch
writes	write	writes
:	:	:

>	>	>
do	do	do
somenone	somenon	somenone
know	know	know
the	the	the
solution	solut	solution
to	to	to
run	run	run
xv	xv	xv
?	?	?
?	?	?
?	?	?

any	ani	any
help	help	help
would	would	would
be	be	be
apprecied	appreci	apprecied
.	.	.
.	.	.

i	i	i
would	would	would
guess	guess	guess
that	that	that
it	it	it
requires	requir	requires
x	x	x
,	,	,
almost	almost	almost
certainly	certain	certainly
dv	dv	dv
/	/	/
x	x	x
,	,	,
which	which	which
commonly	common	commonly
uses	use	us
the	the	the
go32	go32	go32
(	(	(
djgpp	djgpp	djgpp
)	)	)
setup	setup	setup
for	for	for
its	it	it
programs	program	program
.	.	.

if	if	if
you	you	you
don	don	don
'	'	'
t	t	t
have	have	have
dv	dv	dv
/	/	/
x	x	x
running	run	running
,	,	,
you	you	you
can	can	can
'	'	'
t	t	t
get	get	get
anything	anyth	anything
which	which	which
requires	requir	requires
interfacing	interfac	interfacing
with	with	with
x	x	x
.	.	.

-	-	-
-	-	-
kevin	kevin	kevin
martin	martin	martin
sigma@rahul.net	sigma@rahul.net	sigma@rahul.net

"	"	"
i	i	i
gotta	gotta	gotta
get	get	get
me	me	me
another	anoth	another
hat	hat	hat
.	.	.
"	"	"
