from	from	from
:	:	:
barnesm@sun.com	barnesm@sun.com	barnesm@sun.com
(	(	(
mark	mark	mark
barnes	barn	barnes
-	-	-
sunsoft	sunsoft	sunsoft
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
lh	lh	lh
workmanship	workmanship	workmanship

organization	organ	organization
:	:	:
sun	sun	sun
microsystems	microsystem	microsystems
,	,	,
inc	inc	inc
.	.	.

lines	line	line
:	:	:
6	6	6

distribution	distribut	distribution
:	:	:
world	world	world

reply	repli	reply
-	-	-
to	to	to
:	:	:
barnesm@sun.com	barnesm@sun.com	barnesm@sun.com

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
vavau	vavau	vavau
.	.	.
corp	corp	corp
.	.	.
sun	sun	sun
.	.	.
com	com	com

i	i	i
was	was	wa
following	follow	following
an	an	an
example	exampl	example
of	of	of
the	the	the
lh	lh	lh
the	the	the
other	other	other
day	day	day
,	,	,
and	and	and
noticed	notic	noticed
the	the	the
fit	fit	fit
between	between	between
the	the	the
tunk	tunk	tunk
lid	lid	lid
and	and	and
the	the	the
rear	rear	rear
bumper	bumper	bumper
.	.	.

the	the	the
gap	gap	gap
was	was	wa
quite	quit	quite
small	small	small
on	on	on
the	the	the
left	left	left
side	side	side
,	,	,
but	but	but
much	much	much
larger	larger	larger
on	on	on
the	the	the
right	right	right
.	.	.

blech	blech	blech
!	!	!
!	!	!
!	!	!

-	-	-
-	-	-
-	-	-
mark	mark	mark
