from	from	from
:	:	:
jr0930@eve.albany.edu	jr0930@eve.albany.edu	jr0930@eve.albany.edu
(	(	(
regan	regan	regan
james	jame	james
p	p	p
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
pascal	pascal	pascal
-	-	-
fractals	fractal	fractal

organization	organ	organization
:	:	:
state	state	state
university	univers	university
of	of	of
new	new	new
york	york	york
at	at	at
albany	albani	albany

lines	line	line
:	:	:
10	10	10

apparently	appar	apparently
,	,	,
my	my	my
editor	editor	editor
didn	didn	didn
'	'	'
t	t	t
do	do	do
what	what	what
i	i	i
wanted	want	wanted
it	it	it
to	to	to
do	do	do
,	,	,
so	so	so
i	i	i
'	'	'
ll	ll	ll
try	tri	try
again	again	again
.	.	.

i	i	i
'	'	'
m	m	m
looking	look	looking
for	for	for
any	ani	any
programs	program	program
or	or	or
code	code	code
to	to	to
do	do	do
simple	simpl	simple
animation	anim	animation
and	and	and
/	/	/
or	or	or
drawing	draw	drawing
using	use	using
fractals	fractal	fractal
in	in	in
turbopascal	turbopasc	turbopascal
for	for	for
an	an	an
ibm	ibm	ibm

thanks	thank	thanks
in	in	in
advance	advanc	advance

-	-	-
-	-	-

|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|

_	_	_
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
_______________________	_______________________	_______________________
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
_	_	_
jr0930@eve.albany.edu	jr0930@eve.albany.edu	jr0930@eve.albany.edu

-	-	-
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
-	-	-
jr0930@albnyvms.bitnet	jr0930@albnyvms.bitnet	jr0930@albnyvms.bitnet

|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
go	go	go
heavy	heavi	heavy
or	or	or
go	go	go
home	home	home
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
|	|	|
