from	from	from
:	:	:
luriem@alleg.edu	luriem@alleg.edu	luriem@alleg.edu
(	(	(
michael	michael	michael
lurie	luri	lurie
)	)	)
the	the	the
liberalizer	liber	liberalizer

subject	subject	subject
:	:	:
re	re	re
:	:	:
the	the	the
all	all	all
time	time	time
greats	great	great
team	team	team

organization	organ	organization
:	:	:
allegheny	allegheni	allegheny
college	colleg	college

lines	line	line
:	:	:
33	33	33

in	in	in
article	articl	article
<	<	<
1993apr14.203122.12367@iscsvax.uni.edu	1993apr14.203122.12367@iscsvax.uni.edu	1993apr14.203122.12367@iscsvax.uni.edu
>	>	>
reed5575@iscsvax.uni.edu	reed5575@iscsvax.uni.edu	reed5575@iscsvax.uni.edu
writes	write	writes
:	:	:

>	>	>

>	>	>
dave	dave	dave
winfield	winfield	winfield
'	'	'
s	s	s
name	name	name
does	doe	doe
not	not	not
go	go	go

>	>	>
in	in	in
the	the	the
same	same	same
sentence	sentenc	sentence
.	.	.

as	as	a
aaron	aaron	aaron
,	,	,
robinson	robinson	robinson
,	,	,
and	and	and
ott	ott	ott
.	.	.

in	in	in
terms	term	term
of	of	of
peak	peak	peak
,	,	,
and	and	and
i	i	i
repeat	repeat	repeat
peak	peak	peak
years	year	year
,	,	,
winfield	winfield	winfield
has	has	ha
done	done	done
it	it	it
all	all	all
.	.	.

he	he	he
has	has	ha
batted	bat	batted
in	in	in
the	the	the
340	340	340
'	'	'
s	s	s
for	for	for
a	a	a
season	season	season
,	,	,
drove	drove	drove
in	in	in
100	100	100
and	and	and
more	more	more
runs	run	run
many	mani	many
times	time	time
in	in	in
a	a	a
row	row	row
before	befor	before
his	his	his
injury	injuri	injury
.	.	.

consistently	consist	consistently
hit	hit	hit
at	at	at
or	or	or
near	near	near
300	300	300
while	while	while
knocking	knock	knocking
in	in	in
35	35	35
home	home	home
runs	run	run
.	.	.

have	have	have
you	you	you
even	even	even
looked	look	looked
at	at	at
dave	dave	dave
winfield	winfield	winfield
'	'	'
s	s	s
slugging	slug	slugging
percentage	percentag	percentage
for	for	for
three	three	three
or	or	or
4	4	4
of	of	of
his	his	his
best	best	best
