from	from	from
:	:	:
jiml@garfunkel.ftcollinsco.ncr.com	jiml@garfunkel.ftcollinsco.ncr.com	jiml@garfunkel.ftcollinsco.ncr.com
(	(	(
jim	jim	jim
l	l	l
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
simm	simm	simm
speed	speed	speed

distribution	distribut	distribution
:	:	:
world	world	world

organization	organ	organization
:	:	:
ncr	ncr	ncr
microelectronics	microelectron	microelectronics
products	product	product
division	divis	division
(	(	(
an	an	an
at	at	at
&	&	&
t	t	t
company	compani	company
)	)	)

lines	line	line
:	:	:
40	40	40

in	in	in
article	articl	article
<	<	<
1993apr6.150808.27533@news.unomaha.edu	1993apr6.150808.27533@news.unomaha.edu	1993apr6.150808.27533@news.unomaha.edu
>	>	>
,	,	,
hkok	hkok	hkok
@	@	@
cse	cse	cse
(	(	(
kok	kok	kok
hon	hon	hon
yin	yin	yin
)	)	)
writes	write	writes
:	:	:

|	|	|
>	>	>
robert	robert	robert
desonia	desonia	desonia
(	(	(
robert.desonia@hal9k.ann-arbor.mi.us	robert.desonia@hal9k.ann-arbor.mi.us	robert.desonia@hal9k.ann-arbor.mi.us
)	)	)
wrote	wrote	wrote
:	:	:

|	|	|
>	>	>
:	:	:
b	b	b

|	|	|
>	>	>
:	:	:
bk	bk	bk
>	>	>
is	is	is
it	it	it
possible	possibl	possible
to	to	to
plug	plug	plug
in	in	in
70ns	70ns	70ns
or	or	or
60ns	60ns	60ns
simms	simm	simms
into	into	into
a	a	a
motherboard	motherboard	motherboard
saying	say	saying

|	|	|
>	>	>
:	:	:
bk	bk	bk
>	>	>
wants	want	want
80ns	80ns	80ns
simms	simm	simms
?	?	?

|	|	|
>	>	>

|	|	|
>	>	>
:	:	:
you	you	you
shouldn	shouldn	shouldn
'	'	'
t	t	t
have	have	have
troubles	troubl	trouble
.	.	.

i	i	i
have	have	have
heard	heard	heard
of	of	of
machines	machin	machine
having	have	having
problems	problem	problem

|	|	|
>	>	>
:	:	:
with	with	with
slower	slower	slower
than	than	than
recommended	recommend	recommended
memory	memori	memory
speeds	speed	speed
,	,	,
but	but	but
never	never	never
faster	faster	faster
.	.	.

|	|	|
>	>	>

|	|	|
>	>	>
-	-	-
-	-	-

|	|	|
>	>	>
it	it	it
should	should	should
run	run	run
without	without	without
any	ani	any
trouble	troubl	trouble
of	of	of
course	cours	course
but	but	but
why	whi	why
do	do	do
you	you	you
want	want	want
to	to	to
buy	buy	buy
some	some	some

|	|	|
>	>	>
60ns	60ns	60ns
and	and	and
mixed	mix	mixed
them	them	them
with	with	with
80ns	80ns	80ns
?	?	?

60ns	60ns	60ns
is	is	is
more	more	more
expensive	expens	expensive
than	than	than
80ns	80ns	80ns
and	and	and

|	|	|
>	>	>
furthermore	furthermor	furthermore
your	your	your
machine	machin	machine
will	will	will
run	run	run
the	the	the
slowest	slowest	slowest
simms	simm	simms
clock	clock	clock
speed	speed	speed
eventhough	eventhough	eventhough

|	|	|
>	>	>
you	you	you
have	have	have
60ns	60ns	60ns
.	.	.

just	just	just
my	my	my
0	0	0
.	.	.
02cents	02cent	02cents
thought	thought	thought
.	.	.
.	.	.
.	.	.
.	.	.

|	|	|
>	>	>

your	your	your
machine	machin	machine
will	will	will
run	run	run
at	at	at
whatever	whatev	whatever
the	the	the
bus	bus	bus
is	is	is
jumpered	jumper	jumpered
to	to	to
/	/	/
cmos	cmos	cmos
is	is	is
set	set	set
to	to	to

(	(	(
usually	usual	usually
wait	wait	wait
states	state	state
)	)	)
regardless	regardless	regardless
of	of	of
what	what	what
speed	speed	speed
ram	ram	ram
is	is	is
installed	instal	installed
.	.	.

no	no	no
motherboard	motherboard	motherboard
can	can	can
sense	sens	sense
the	the	the
speed	speed	speed
of	of	of
the	the	the
ram	ram	ram
installed	instal	installed
,	,	,
unless	unless	unless
you	you	you
call	call	call
failing	fail	failing
as	as	a
a	a	a
sort	sort	sort
of	of	of
auto	auto	auto
-	-	-
sense	sens	sense
.	.	.

this	this	this
is	is	is
how	how	how
you	you	you
can	can	can
sometimes	sometim	sometimes
use	use	use

"	"	"
slower	slower	slower
"	"	"
ram	ram	ram
in	in	in
a	a	a
machine	machin	machine
.	.	.

you	you	you
either	either	either
set	set	set
the	the	the
number	number	number
of	of	of
wait	wait	wait
states	state	state
to	to	to
accomodate	accomod	accomodate
the	the	the
slow	slow	slow
ram	ram	ram
(	(	(
in	in	in
which	which	which
case	case	case
,	,	,
all	all	all
memory	memori	memory
will	will	will
run	run	run
at	at	at
that	that	that
slower	slower	slower
rate	rate	rate
)	)	)
or	or	or
you	you	you
reduce	reduc	reduce
the	the	the
wait	wait	wait
states	state	state
and	and	and
take	take	take
the	the	the
chance	chanc	chance
that	that	that
the	the	the
slower	slower	slower
ram	ram	ram
will	will	will
act	act	act
like	like	like
faster	faster	faster
ram	ram	ram
and	and	and
you	you	you
won	won	won
'	'	'
t	t	t
crash	crash	crash
.	.	.

putting	put	putting
faster	faster	faster
ram	ram	ram
in	in	in
won	won	won
'	'	'
t	t	t
speed	speed	speed
things	thing	thing
up	up	up
unless	unless	unless
you	you	you
tell	tell	tell
the	the	the
machine	machin	machine
it	it	it
has	has	ha
faster	faster	faster
ram	ram	ram
.	.	.

mixing	mix	mixing
fast	fast	fast
and	and	and
slow	slow	slow
ram	ram	ram
will	will	will
not	not	not
help	help	help
you	you	you
if	if	if
you	you	you
have	have	have
to	to	to
keep	keep	keep
the	the	the
bus	bus	bus
slowed	slow	slowed
down	down	down
to	to	to
accomodate	accomod	accomodate
slow	slow	slow
ram	ram	ram
.	.	.

jiml	jiml	jiml

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-

-	-	-
-	-	-
mailer	mailer	mailer
address	address	address
is	is	is
buggy	buggi	buggy
!	!	!

reply	repli	reply
to	to	to
:	:	:
jiml@strauss.ftcollinsco.ncr.com	jiml@strauss.ftcollinsco.ncr.com	jiml@strauss.ftcollinsco.ncr.com

james	jame	james
lewczyk	lewczyk	lewczyk
1-303-223-5100	1-303-223-5100	1-303-223-5100
x9267	x9267	x9267
ncr	ncr	ncr
-	-	-
mpd	mpd	mpd
fort	fort	fort
collins	collin	collins
,	,	,
co	co	co
jim.lewczyk@ftcollinsco.ncr.com	jim.lewczyk@ftcollinsco.ncr.com	jim.lewczyk@ftcollinsco.ncr.com
