from	from	from
:	:	:
sandvik@newton.apple.com	sandvik@newton.apple.com	sandvik@newton.apple.com
(	(	(
kent	kent	kent
sandvik	sandvik	sandvik
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
new	new	new
member	member	member

organization	organ	organization
:	:	:
cookamunga	cookamunga	cookamunga
tourist	tourist	tourist
bureau	bureau	bureau

lines	line	line
:	:	:
20	20	20

in	in	in
article	articl	article
<	<	<
c5hiew.7s1@portal.hq.videocart.com	c5hiew.7s1@portal.hq.videocart.com	c5hiew.7s1@portal.hq.videocart.com
>	>	>
,	,	,
dfuller@portal.hq.videocart.com	dfuller@portal.hq.videocart.com	dfuller@portal.hq.videocart.com
(	(	(
dave	dave	dave
fuller	fuller	fuller
)	)	)
wrote	wrote	wrote
:	:	:

>	>	>
he	he	he
is	is	is
right	right	right
.	.	.

just	just	just
because	becaus	because
an	an	an
event	event	event
was	was	wa
explained	explain	explained
by	by	by
a	a	a
human	human	human
to	to	to
have	have	have
been	been	been

>	>	>
done	done	done
"	"	"
in	in	in
the	the	the
name	name	name
of	of	of
religion	religion	religion
"	"	"
,	,	,
does	doe	doe
not	not	not
mean	mean	mean
that	that	that
it	it	it
actually	actual	actually
followed	follow	followed

>	>	>
the	the	the
religion	religion	religion
.	.	.

he	he	he
will	will	will
always	alway	always
point	point	point
to	to	to
the	the	the
"	"	"
ideal	ideal	ideal
"	"	"
and	and	and
say	say	say
that	that	that
it	it	it
wasn	wasn	wasn
'	'	'
t	t	t

>	>	>
followed	follow	followed
so	so	so
it	it	it
can	can	can
'	'	'
t	t	t
be	be	be
the	the	the
reason	reason	reason
for	for	for
the	the	the
event	event	event
.	.	.

there	there	there
really	realli	really
is	is	is
no	no	no
way	way	way

>	>	>
to	to	to
argue	argu	argue
with	with	with
him	him	him
,	,	,
so	so	so
why	whi	why
bother	bother	bother
.	.	.

sure	sure	sure
,	,	,
you	you	you
may	may	may
get	get	get
upset	upset	upset
because	becaus	because
his	his	his

>	>	>
answer	answer	answer
is	is	is
blind	blind	blind
and	and	and
not	not	not
supported	support	supported
factually	factual	factually
-	-	-
but	but	but
he	he	he
will	will	will
win	win	win
every	everi	every
time	time	time

>	>	>
with	with	with
his	his	his
little	littl	little
argument	argument	argument
.	.	.

i	i	i
don	don	don
'	'	'
t	t	t
think	think	think
there	there	there
will	will	will
be	be	be
any	ani	any
postings	post	posting
from	from	from

>	>	>
me	me	me
in	in	in
direct	direct	direct
response	respons	response
to	to	to
one	one	one
of	of	of
his	his	his
.	.	.

hey	hey	hey
!	!	!

glad	glad	glad
to	to	to
have	have	have
some	some	some
serious	serious	serious
and	and	and
constructive	construct	constructive
contributors	contributor	contributor
in	in	in
this	this	this
newsgroup	newsgroup	newsgroup
.	.	.

i	i	i
agree	agre	agree
100	100	100
%	%	%
on	on	on
the	the	the
statement	statement	statement
above	abov	above
,	,	,
you	you	you
might	might	might
argue	argu	argue
with	with	with
bobby	bobbi	bobby
for	for	for
eons	eon	eon
,	,	,
and	and	and
he	he	he
still	still	still
does	doe	doe
not	not	not
get	get	get
it	it	it
,	,	,
so	so	so
the	the	the
best	best	best
thing	thing	thing
is	is	is
to	to	to
spare	spare	spare
your	your	your
mental	mental	mental
resources	resourc	resource
to	to	to
discuss	discuss	discus
more	more	more
interesting	interest	interesting
issues	issu	issue
.	.	.

cheers	cheer	cheer
,	,	,
kent	kent	kent

-	-	-
-	-	-
-	-	-
sandvik@newton.apple.com	sandvik@newton.apple.com	sandvik@newton.apple.com
.	.	.

alink	alink	alink
:	:	:
ksand	ksand	ksand
-	-	-
-	-	-
private	privat	private
activities	activ	activity
on	on	on
the	the	the
net	net	net
.	.	.
